Group Size,Occurrences
4204,1
3393,1
3225,1
3191,1
3186,1
2983,1
2957,1
2950,1
2949,1
2931,1
2895,1
2867,1
2856,1
2851,2
2847,1
2844,1
2843,1
2818,1
2810,1
2809,1
2801,1
2798,1
2795,1
2781,1
2780,1
2764,1
2763,1
2750,1
2745,1
2739,1
2729,1
2722,1
2720,1
2718,1
2705,1
2700,1
2685,1
2674,1
2673,1
2663,2
2658,1
2646,2
2641,1
2640,1
2631,1
2630,1
2629,1
2609,1
2608,1
2607,1
2590,1
2584,1
2579,1
2572,1
2568,1
2567,1
2558,1
2551,1
2550,1
2548,1
2540,2
2539,1
2527,1
2525,1
2518,2
2505,1
2502,1
2501,1
2493,1
2489,1
2486,2
2485,1
2484,1
2462,1
2459,1
2457,1
2455,1
2453,1
2445,1
2444,1
2443,1
2429,1
2425,1
2416,1
2406,1
2400,2
2393,2
2375,1
2372,1
2359,1
2351,1
2348,1
2344,1
2327,1
2311,1
2303,1
2291,1
2288,1
2281,1
2278,1
2273,2
2268,1
2262,1
2261,1
2260,1
2251,1
2246,1
2243,1
2234,1
2230,3
2227,1
2224,2
2206,1
2187,1
2177,1
2166,1
2161,2
2156,1
2153,1
2146,1
2144,1
2142,1
2139,1
2138,1
2136,2
2133,1
2131,2
2129,1
2128,2
2127,1
2126,1
2124,1
2121,1
2112,1
2110,1
2107,1
2105,1
2100,2
2098,1
2095,1
2090,1
2086,1
2084,1
2080,1
2076,1
2065,1
2063,1
2058,1
2054,1
2052,1
2049,2
2047,1
2045,1
2042,1
2041,1
2039,1
2035,2
2034,3
2030,1
2028,1
2027,1
2015,1
2011,2
2009,2
2005,1
2001,1
1994,1
1992,1
1991,2
1988,2
1984,1
1982,1
1976,1
1975,2
1974,3
1971,1
1961,1
1953,1
1952,1
1947,1
1941,2
1938,2
1932,2
1929,1
1928,1
1920,1
1911,2
1907,1
1906,2
1905,1
1896,1
1893,1
1891,1
1888,1
1884,1
1878,1
1876,1
1871,1
1868,1
1864,2
1862,1
1861,2
1860,1
1859,1
1854,2
1853,1
1850,1
1848,1
1846,1
1842,1
1841,2
1840,2
1838,1
1837,2
1826,1
1824,1
1822,2
1819,1
1815,1
1814,1
1810,1
1809,1
1807,1
1805,1
1802,1
1800,1
1791,1
1790,1
1788,1
1782,1
1776,1
1772,1
1768,1
1767,1
1766,1
1764,1
1763,1
1758,1
1754,1
1749,1
1742,1
1741,1
1738,1
1735,1
1732,1
1729,1
1727,1
1724,1
1716,1
1715,1
1713,1
1711,2
1707,1
1702,2
1699,1
1693,1
1692,1
1691,1
1688,2
1684,1
1681,1
1680,1
1677,1
1673,1
1672,1
1669,1
1662,1
1660,1
1659,2
1657,1
1654,1
1652,1
1651,1
1646,2
1645,1
1644,1
1636,1
1631,1
1630,1
1629,1
1624,1
1622,1
1620,2
1619,1
1614,1
1613,1
1608,1
1607,1
1606,1
1605,1
1604,1
1601,2
1600,2
1598,2
1592,1
1587,1
1585,1
1584,1
1581,1
1580,1
1574,1
1572,2
1566,1
1558,1
1547,1
1546,1
1545,1
1544,2
1543,1
1542,1
1540,1
1537,1
1529,1
1527,1
1521,1
1520,1
1518,2
1517,1
1515,1
1514,1
1513,1
1512,1
1511,2
1510,1
1505,1
1504,1
1502,1
1501,1
1500,1
1499,1
1498,1
1494,2
1486,1
1481,1
1479,1
1476,1
1467,1
1464,1
1462,1
1459,2
1458,2
1456,1
1455,2
1451,1
1445,1
1444,1
1439,3
1437,1
1435,1
1434,3
1431,1
1430,1
1428,2
1427,2
1426,1
1425,1
1423,1
1422,1
1420,1
1414,1
1411,1
1410,1
1406,1
1405,1
1403,2
1401,1
1399,1
1396,1
1395,1
1393,2
1392,1
1388,2
1387,2
1386,1
1384,2
1381,1
1380,2
1379,1
1377,1
1376,2
1375,2
1373,1
1369,1
1368,1
1366,1
1362,1
1361,1
1358,1
1357,1
1356,1
1354,1
1352,1
1350,2
1349,1
1345,1
1342,2
1341,1
1340,1
1339,2
1336,1
1335,2
1334,1
1330,2
1329,2
1328,1
1326,1
1324,1
1320,2
1316,1
1314,1
1308,2
1307,1
1306,2
1305,2
1303,1
1302,2
1300,2
1298,1
1297,1
1294,1
1293,1
1291,1
1290,2
1289,1
1288,1
1286,1
1285,2
1284,1
1281,1
1277,2
1274,1
1270,1
1269,1
1268,1
1267,1
1264,2
1263,3
1262,1
1261,1
1260,1
1258,1
1256,2
1253,2
1252,2
1251,1
1250,2
1248,1
1247,2
1240,1
1239,1
1238,2
1237,1
1236,2
1235,1
1234,3
1232,2
1230,3
1227,1
1226,1
1222,1
1221,1
1219,1
1218,2
1217,1
1215,1
1214,2
1213,2
1212,1
1210,2
1209,1
1208,1
1207,2
1206,1
1205,1
1204,4
1203,1
1200,1
1198,1
1195,1
1193,2
1192,1
1188,1
1186,1
1185,1
1184,2
1182,1
1181,1
1180,2
1179,1
1178,3
1175,1
1174,1
1173,1
1170,1
1169,1
1168,1
1167,2
1166,2
1163,4
1162,2
1156,1
1155,2
1154,2
1153,1
1152,4
1151,1
1149,3
1148,1
1147,3
1145,3
1143,2
1141,1
1140,1
1139,1
1138,1
1136,1
1135,1
1133,2
1132,2
1130,3
1129,3
1127,2
1126,1
1124,3
1121,1
1120,1
1119,1
1118,1
1117,2
1116,1
1115,2
1113,1
1111,1
1110,1
1108,2
1107,2
1105,1
1103,2
1102,1
1100,3
1099,3
1098,2
1095,1
1093,1
1091,1
1089,2
1087,1
1086,2
1084,2
1082,1
1078,1
1077,1
1076,1
1074,1
1073,2
1071,1
1070,1
1069,1
1067,1
1066,3
1065,2
1064,1
1063,1
1062,1
1061,2
1060,1
1059,2
1058,1
1056,2
1055,1
1054,1
1051,2
1050,2
1049,4
1048,2
1047,1
1045,1
1044,2
1041,1
1040,1
1038,2
1037,1
1035,1
1034,1
1031,2
1029,1
1028,1
1027,2
1026,2
1024,3
1023,1
1022,2
1021,1
1020,1
1018,2
1017,3
1015,1
1014,3
1013,1
1012,3
1011,1
1010,2
1009,2
1004,1
1003,2
1002,2
1000,2
999,1
998,1
997,2
996,1
995,3
994,2
993,2
991,3
989,3
988,1
987,4
986,3
985,1
982,3
981,1
980,1
979,1
978,1
975,2
974,1
973,4
969,1
968,3
967,3
966,2
965,1
964,4
963,2
962,3
961,3
960,3
959,2
958,1
956,1
955,2
952,2
951,1
950,1
949,5
948,1
947,3
946,2
945,2
943,1
942,4
941,2
940,2
938,1
937,3
936,1
934,2
932,1
930,1
929,3
926,3
925,1
924,3
923,1
921,2
920,2
919,2
917,2
916,2
915,1
913,3
912,1
911,1
910,1
909,1
908,2
907,1
905,1
904,4
903,2
901,1
900,2
899,3
898,3
896,2
893,1
892,2
891,2
890,2
889,2
888,1
887,1
886,2
884,5
883,1
882,1
880,1
879,1
878,1
877,2
876,1
875,1
874,2
873,3
872,1
870,1
869,3
868,3
866,1
865,1
863,4
862,3
861,3
860,1
858,3
857,1
855,1
854,3
853,2
850,2
845,2
844,3
843,1
842,1
841,2
840,3
839,1
836,1
834,1
832,2
830,2
829,2
828,1
826,3
825,2
824,1
822,1
821,4
820,2
818,1
817,3
816,1
815,3
813,2
812,2
811,1
808,1
807,1
806,1
805,1
804,1
803,1
802,1
801,2
800,1
799,3
798,3
797,1
796,1
794,1
793,1
792,2
791,3
790,2
789,3
788,2
787,1
786,1
785,2
784,2
783,3
782,1
781,2
780,1
779,4
778,2
776,2
775,3
774,1
773,1
772,2
770,2
769,2
768,1
766,1
763,1
762,1
758,5
757,2
756,5
755,2
754,1
753,2
752,2
751,1
750,1
749,1
747,1
744,3
743,4
741,2
739,5
738,1
737,1
736,3
735,2
734,1
733,1
731,1
730,2
729,1
728,1
727,3
726,1
725,3
723,3
722,2
721,3
719,1
718,1
717,2
716,1
715,2
714,1
713,1
712,3
710,1
709,2
707,1
703,1
702,2
700,1
699,3
698,1
694,2
693,1
692,3
691,5
690,2
689,1
688,1
687,2
685,4
684,4
683,2
682,1
681,2
680,3
679,2
678,1
677,3
676,4
675,1
674,1
673,2
672,3
671,3
670,2
669,3
668,1
667,3
666,2
665,2
663,1
662,2
661,2
660,4
657,3
654,2
653,1
652,1
651,2
650,4
649,3
648,3
647,1
646,1
645,2
644,3
642,2
641,8
640,2
639,3
638,2
636,2
635,2
634,3
633,3
632,4
631,3
630,2
629,3
628,5
627,4
626,4
625,1
624,3
622,3
621,3
620,4
619,4
618,4
617,3
616,6
615,3
614,6
613,3
612,2
611,3
610,3
609,5
608,4
607,7
606,6
605,4
604,5
603,2
602,5
601,3
600,2
599,2
598,4
597,4
596,4
595,5
594,5
592,5
591,7
590,5
589,3
588,1
587,5
586,3
585,5
584,8
583,7
582,6
581,2
580,5
579,2
578,1
577,5
576,5
575,9
574,2
573,2
572,3
571,1
570,4
569,8
568,6
567,3
566,3
565,8
564,4
563,5
562,6
561,7
560,4
559,6
558,4
557,6
556,3
555,2
554,2
553,6
552,3
551,5
550,7
549,7
548,4
547,6
546,5
545,2
544,2
543,3
542,3
541,4
540,6
539,1
538,5
537,6
536,1
535,2
534,5
533,3
532,4
531,9
530,6
529,10
528,3
527,3
526,8
525,4
524,1
523,3
522,10
521,4
520,5
519,3
518,4
517,9
516,11
515,3
514,4
513,5
512,5
511,7
510,7
509,6
508,4
507,9
506,13
505,10
504,7
503,8
502,3
501,4
500,1
499,3
498,7
497,3
496,4
495,1
494,9
493,7
492,5
491,7
490,7
489,8
488,4
487,9
486,8
485,8
484,9
483,5
482,5
481,13
480,6
479,6
478,5
477,5
476,8
475,9
474,5
473,10
472,16
471,9
470,4
469,9
468,11
467,12
466,8
465,9
464,8
463,7
462,10
461,9
460,14
459,14
458,7
457,7
456,13
455,11
454,13
453,9
452,9
451,14
450,7
449,10
448,11
447,15
446,13
445,14
444,5
443,9
442,8
441,10
440,16
439,18
438,10
437,10
436,16
435,8
434,17
433,9
432,11
431,11
430,6
429,14
428,16
427,12
426,14
425,19
424,16
423,15
422,20
421,21
420,18
419,17
418,11
417,23
416,14
415,16
414,16
413,11
412,15
411,14
410,19
409,21
408,14
407,14
406,20
405,10
404,22
403,22
402,13
401,20
400,23
399,20
398,21
397,18
396,21
395,19
394,16
393,20
392,23
391,25
390,22
389,17
388,20
387,26
386,31
385,18
384,19
383,25
382,22
381,22
380,32
379,31
378,29
377,38
376,31
375,24
374,27
373,26
372,26
371,31
370,25
369,25
368,28
367,38
366,36
365,33
364,37
363,33
362,23
361,44
360,31
359,29
358,35
357,44
356,35
355,38
354,34
353,38
352,39
351,37
350,42
349,39
348,44
347,41
346,30
345,42
344,35
343,55
342,49
341,48
340,42
339,48
338,41
337,51
336,63
335,51
334,43
333,45
332,42
331,38
330,54
329,48
328,50
327,53
326,57
325,40
324,53
323,51
322,53
321,50
320,58
319,48
318,46
317,57
316,41
315,44
314,51
313,40
312,53
311,57
310,46
309,56
308,57
307,45
306,42
305,46
304,51
303,38
302,45
301,48
300,39
299,52
298,43
297,46
296,38
295,50
294,48
293,37
292,29
291,38
290,39
289,35
288,43
287,38
286,41
285,57
284,42
283,49
282,43
281,38
280,47
279,46
278,40
277,48
276,49
275,32
274,47
273,30
272,46
271,40
270,33
269,36
268,30
267,38
266,49
265,41
264,32
263,43
262,45
261,35
260,27
259,34
258,26
257,40
256,34
255,29
254,39
253,40
252,37
251,37
250,38
249,42
248,33
247,38
246,32
245,34
244,42
243,31
242,37
241,37
240,36
239,41
238,40
237,26
236,43
235,34
234,35
233,30
232,38
231,44
230,38
229,31
228,38
227,37
226,33
225,32
224,34
223,46
222,36
221,34
220,36
219,31
218,37
217,36
216,30
215,35
214,31
213,27
212,46
211,34
210,22
209,40
208,33
207,31
206,44
205,36
204,39
203,35
202,25
201,42
200,44
199,31
198,32
197,38
196,33
195,43
194,40
193,41
192,48
191,28
190,37
189,26
188,34
187,39
186,32
185,31
184,35
183,44
182,47
181,44
180,28
179,34
178,38
177,33
176,43
175,42
174,35
173,39
172,38
171,46
170,35
169,44
168,36
167,32
166,31
165,43
164,27
163,39
162,31
161,27
160,31
159,47
158,39
157,41
156,35
155,35
154,37
153,33
152,34
151,46
150,32
149,39
148,30
147,33
146,39
145,44
144,38
143,37
142,25
141,39
140,36
139,38
138,43
137,38
136,40
135,42
134,40
133,35
132,41
131,59
130,39
129,45
128,43
127,36
126,40
125,35
124,40
123,32
122,48
121,34
120,39
119,36
118,39
117,40
116,50
115,39
114,35
113,38
112,40
111,49
110,48
109,48
108,44
107,44
106,42
105,48
104,38
103,52
102,53
101,47
100,46
99,49
98,55
97,53
96,48
95,56
94,56
93,39
92,54
91,52
90,50
89,50
88,52
87,55
86,46
85,56
84,54
83,48
82,73
81,65
80,62
79,64
78,70
77,62
76,60
75,55
74,65
73,71
72,68
71,62
70,68
69,60
68,71
67,61
66,59
65,70
64,62
63,71
62,72
61,71
60,78
59,69
58,87
57,85
56,71
55,58
54,91
53,86
52,94
51,78
50,81
49,86
48,71
47,68
46,81
45,81
44,82
43,103
42,87
41,118
40,98
39,89
38,89
37,88
36,74
35,76
34,73
33,86
32,82
31,60
30,72
29,77
28,73
27,75
26,77
25,86
24,87
23,92
22,84
21,92
20,104
19,84
18,97
17,90
16,82
15,94
14,98
13,102
12,111
11,156
10,205
9,297
8,537
7,890
6,1571
5,2772
4,5314
3,11052
2,23728
1,49149
